id,name,date,distance_km,elapsed_time_s,median_alt_m,weight
13328730476,No hands trail 🥉,2025-01-11,51.85,17552,322.6,0.762
13063875249,Paarl Rock Ultra 🥈,2024-12-07,44.06,15713,450.2,0.729
13019021514,Quad Dipsea !!,2024-11-30,44.85,17753,195.8,0.722
12634398421,Kodiak 100 DNF 😥,2024-10-11,80.76,40204,2231.8,0.678
12477892722,Heidelberg Trail 50,2024-09-22,47.7,16671,351.2,0.662
11607784472,Sonoma Coast 50 🥇,2024-06-08,51.05,18955,188.6,0.579
11387934726,Yosemite Half Marathon,2024-05-11,21.18,7066,1418.4,0.559
10195711925,TSR - First stage,2023-11-10,15.03,4122,355.6,0.443
10084287551,Grand Trail du Lac,2023-10-22,75.11,35645,645.7,0.433
9063245716,Trail des forts de Besancon,2023-05-13,59.26,22902,382.45,0.353
8735128779,Ecotrail 45,2023-03-18,45.85,13945,124.9,0.328
8698138188,Le dernier homme debout - Sens ,2023-03-11,62.08,29276,119.4,0.326
8007585068,Festival des Templiers 🏰,2022-10-23,81.57,38207,700.7,0.273
7864231670,Marathon de Tours ,2022-09-25,42.48,10772,47.8,0.264
7702839011,GRP - Tour du Néouvielle,2022-08-26,42.82,19482,1960.7,0.254
7539785040,#UBBC,2022-07-27,40.14,17036,85.6,0.244
7476945521,Eiger Ultra Trail - E250,2022-07-13,254.31,223511,1449.0,0.24
7368328010,Duo étoilé 🐨🐨,2022-06-25,20.17,14856,1828.65,0.235
7295599600,Trail du Pays de l'Ourcq ,2022-06-12,37.9,10824,94.6,0.231
7070788931,Trail Nivolet Revard ,2022-05-01,52.42,24180,969.7,0.219
6889673885,Foulées de l'assurance,2022-03-27,9.89,2174,49.8,0.209
6850114807,"Eco""trail"" Paris",2022-03-19,80.97,27796,150.8,0.207
6639749575,Maxicross 55,2022-02-06,52.15,19399,154.0,0.197
6312639841,Xterra Gozo Trail,2021-11-27,52.98,18174,55.4,0.18
6188928766,Maxi Race Night Edition,2021-10-29,90.92,47065,922.7,0.174
5943374884,Pirin Ultra 🥇,2021-09-11,69.51,37775,1958.2,0.163
5869168768,UTMB,2021-08-27,179.1,114662,1644.6,0.16
5534140133,Lavaredo Ultra Trail,2021-06-25,121.25,74544,1794.4,0.148
4083304756,Lost Trail Olympus,2020-09-19,51.64,33378,1114.3,0.104
3953305886,Ultra 01 DNF,2020-08-21,128.31,87374,845.9,0.1
3854924950,Trail Val Cenis,2020-08-02,83.62,46744,2097.2,0.098
2919966057,L'Origole,2019-12-08,33.88,10512,170.6,0.072
2768355518,Trail du petit St. Bernard,2019-10-06,61.67,30944,2189.2,0.067
2687002805,Grächen Berglauf,2019-09-07,21.6,7829,2013.0,0.064
2683156603,Ultra Tour Monte Rosa,2019-09-05,88.63,53516,2196.7,0.064
2510060043,High Trail Vanoise,2019-07-06,74.63,47942,2553.4,0.059
2474952265,3600 Summit Trail - Les Deux Alpes,2019-06-23,43.43,21542,1822.2,0.058
2418384175,L'Arbarine,2019-06-02,29.53,17691,1352.1,0.057
2344304599,Trail blanc Nivolet Revard 🤣🙈,2019-05-05,52.17,23521,873.9,0.055
2325406020,Trail du Laudon,2019-04-28,35.01,14899,740.3,0.054
2007702226,Maxi Race Madeira,2018-12-08,104.6,65659,420.2,0.046
1971634674,Trail de l'Arclusaz,2018-11-18,29.16,11688,928.6,0.044
1875870577,Trail des Aiguilles Rouges,2018-09-30,58.88,32626,1768.9,0.042
1812738885,L'échappée Belle - Traversée Nord,2018-09-01,85.9,52696,1592.3,0.04
1796042194,Le Bélier,2018-08-25,27.41,11831,1370.0,0.04
1687893201,X-Alpine Verbier,2018-07-07,119.54,90100,1822.55,0.038
1612862774,Trail du Gypaète,2018-06-02,79.89,42009,1333.6999999999998,0.036
1553655377,Trail Nivolet Revard,2018-05-06,51.96,23222,940.45,0.035
1493954585,Trail des Glaisins,2018-04-07,34.26,14194,692.6,0.033
1188164913,Trail d'Albertville,2017-09-17,50.45,29563,986.4,0.026
1009074316,Maxi Race,2017-05-27,95.75,57865,936.8,0.022
964079380,Marathon du Lac d'Annecy,2017-04-30,43.6,12211,460.2,0.022
954439474,Trail du Laudon,2017-04-23,26.41,11934,889.3,0.021
923075591,Trail des Glaisins,2017-04-01,36.52,15389,667.0,0.021
847334293,Trail blanc du semnoz,2017-01-28,11.35,4063,1597.5,0.019
